dataset [rPPGDataset-train] was created
dataset [rPPGDataset-test] was created
Data Size: 650 ||||| Batch Size: 3 ||||| initial lr: 0.001000
Epoch 60/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 20.363/19.822
Epoch 61/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 20.325/19.901
Epoch 62/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 20.355/19.866
Epoch 63/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 19.765/19.795
Epoch 64/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 19.746/19.784
Epoch 65/200 ||||| Time: 5 sec ||||| Lr: 0.0001000 ||||| Loss: 20.749/19.792
Epoch 66/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 20.410/19.769
Epoch 67/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 20.395/19.772
Epoch 68/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 20.216/19.823
Epoch 69/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 20.689/19.834
Epoch 70/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 20.247/19.873
Epoch 71/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 19.735/19.820
Epoch 72/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 20.557/19.915
Epoch 73/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 20.193/19.789
Epoch 74/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 20.086/19.874
Epoch 75/200 ||||| Time: 5 sec ||||| Lr: 0.0001000 ||||| Loss: 20.040/19.913
Epoch 76/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 19.586/19.924
Epoch 77/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 19.565/19.963
Epoch 78/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 20.094/20.061
Epoch 79/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 19.620/20.065
Epoch 80/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 19.987/20.006
Epoch 81/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 19.551/19.989
Epoch 82/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 19.473/20.157
Epoch 83/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 20.209/20.167
Epoch 84/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 19.222/20.014
Epoch 85/200 ||||| Time: 5 sec ||||| Lr: 0.0001000 ||||| Loss: 20.105/20.009
Epoch 86/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 19.646/19.985
Epoch 87/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 19.472/19.937
Epoch 88/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 19.682/19.836
Epoch 89/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 19.184/19.825
Epoch 90/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 19.140/19.806
Epoch 91/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 19.106/19.906
Epoch 92/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 19.801/19.954
Epoch 93/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 19.763/20.010
Epoch 94/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 18.767/19.936
Epoch 95/200 ||||| Time: 5 sec ||||| Lr: 0.0001000 ||||| Loss: 18.586/19.846
Epoch 96/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 18.854/19.824
Epoch 97/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 19.316/19.894
Epoch 98/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 18.512/20.041
Epoch 99/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 18.935/19.586
Epoch 100/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 19.197/19.557
Epoch 101/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 18.907/19.474
Epoch 102/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 18.439/19.539
Epoch 103/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 18.759/19.767
Epoch 104/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 18.753/19.776
Epoch 105/200 ||||| Time: 5 sec ||||| Lr: 0.0001000 ||||| Loss: 18.233/19.896
Epoch 106/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 18.888/19.953
Epoch 107/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 18.145/20.071
Epoch 108/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 18.465/20.084
Epoch 109/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 19.410/19.439
Epoch 110/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 19.081/19.695
Epoch 111/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 18.286/20.035
Epoch 112/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 19.114/19.912
Epoch 113/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 18.548/19.812
Epoch 114/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 19.036/19.891
Epoch 115/200 ||||| Time: 5 sec ||||| Lr: 0.0001000 ||||| Loss: 18.619/19.893
Epoch 116/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 18.196/19.916
Epoch 117/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 19.054/19.994
Epoch 118/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 18.988/20.048
Epoch 119/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 18.073/20.214
Epoch 120/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 18.577/20.003
Epoch 121/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 18.511/20.357
Epoch 122/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 19.395/19.965
Epoch 123/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 18.153/20.139
Epoch 124/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 18.307/20.415
Epoch 125/200 ||||| Time: 5 sec ||||| Lr: 0.0001000 ||||| Loss: 18.166/20.587
Epoch 126/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 18.108/20.663
Epoch 127/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 17.480/20.670
Epoch 128/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 18.498/20.508
Epoch 129/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 17.623/20.079
Epoch 130/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 17.654/20.359
Epoch 131/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 17.891/20.011
Epoch 132/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 17.778/20.360
Epoch 133/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 18.138/20.613
Epoch 134/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 16.968/20.044
Epoch 135/200 ||||| Time: 5 sec ||||| Lr: 0.0001000 ||||| Loss: 17.109/19.960
Epoch 136/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 17.172/20.264
Epoch 137/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 16.925/20.242
Epoch 138/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 16.456/20.382
Epoch 139/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 17.500/21.014
Epoch 140/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 17.926/18.698
Epoch 141/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 16.909/19.854
Epoch 142/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 16.392/19.258
Epoch 143/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 16.453/20.758
Epoch 144/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 16.256/20.272
Epoch 145/200 ||||| Time: 5 sec ||||| Lr: 0.0001000 ||||| Loss: 15.706/20.273
Epoch 146/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 16.053/20.249
Epoch 147/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 14.812/20.375
Epoch 148/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 13.997/20.582
Epoch 149/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 15.528/19.792
Epoch 150/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 14.757/21.693
Epoch 151/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 15.735/24.952
Epoch 152/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 13.955/20.570
Epoch 153/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 13.586/23.083
Epoch 154/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 15.066/22.349
Epoch 155/200 ||||| Time: 5 sec ||||| Lr: 0.0001000 ||||| Loss: 13.224/21.994
Epoch 156/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 12.564/18.577
Epoch 157/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 13.246/22.391
Epoch 158/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 14.957/22.166
Epoch 159/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 13.776/24.383
Epoch 160/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 15.322/22.644
Epoch 161/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 15.962/19.084
Epoch 162/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 14.356/19.118
Epoch 163/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 12.482/23.431
Epoch 164/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 14.213/21.771
Epoch 165/200 ||||| Time: 5 sec ||||| Lr: 0.0001000 ||||| Loss: 13.315/22.394
Epoch 166/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 11.612/21.108
Epoch 167/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 11.743/20.192
Epoch 168/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 12.832/20.254
Epoch 169/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 17.364/23.235
Epoch 170/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 16.226/20.972
Epoch 171/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 17.604/18.396
Epoch 172/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 16.919/17.509
Epoch 173/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 16.546/17.385
Epoch 174/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 17.233/18.347
Epoch 175/200 ||||| Time: 5 sec ||||| Lr: 0.0001000 ||||| Loss: 17.216/18.083
Epoch 176/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 16.837/17.983
Epoch 177/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 16.859/18.410
Epoch 178/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 17.154/18.792
Epoch 179/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 15.767/18.865
Epoch 180/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 16.037/20.009
Epoch 181/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 17.568/18.728
Epoch 182/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 17.173/18.604
Epoch 183/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 16.940/18.656
Epoch 184/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 16.227/19.090
Epoch 185/200 ||||| Time: 5 sec ||||| Lr: 0.0001000 ||||| Loss: 15.681/19.472
Epoch 186/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 16.450/19.553
Epoch 187/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 16.255/20.153
Epoch 188/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 14.886/19.837
Epoch 189/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 15.090/20.019
Epoch 190/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 16.626/21.072
Epoch 191/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 17.250/21.122
Epoch 192/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 15.238/19.667
Epoch 193/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 13.330/20.176
Epoch 194/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 15.056/20.439
Epoch 195/200 ||||| Time: 5 sec ||||| Lr: 0.0001000 ||||| Loss: 12.660/21.675
Epoch 196/200 ||||| Time: 5 sec ||||| Lr: 0.0001859 ||||| Loss: 12.276/21.259
Epoch 197/200 ||||| Time: 5 sec ||||| Lr: 0.0004109 ||||| Loss: 12.070/21.282
Epoch 198/200 ||||| Time: 5 sec ||||| Lr: 0.0006891 ||||| Loss: 13.764/20.158
Epoch 199/200 ||||| Time: 5 sec ||||| Lr: 0.0009141 ||||| Loss: 12.763/17.496
Epoch 200/200 ||||| Time: 5 sec ||||| Lr: 0.0010000 ||||| Loss: 14.729/22.819
